id,name,pclass,age,sex,survived,sexcode
464,Bing_ Mr Lee,3rd,32,male,1,0
465,Bourke_ Mrs John (Catherine),3rd,32,female,0,1
466,Chip_ Mr Chang,3rd,32,male,0,0
467,Dooley_ Mr Patrick,3rd,32,male,0,0
468,Gronnestad_ Mr Daniel Danielsen,3rd,32,male,0,0
469,Johansson_ Mr Karl Johan,3rd,32,male,1,0
470,Jonsson_ Mr Carl,3rd,32,male,1,0
471,Jussila_ Mr Erik,3rd,32,male,1,0
472,Leinonen_ Mr Antti Gustaf,3rd,32,male,0,0
473,Carlsson_ Mr Frans Olof,1st,33,male,0,0
474,Minahan_ Miss Daisy E,1st,33,female,1,1
475,Rosenbaum (Russell)_ Miss Edith Louise,1st,33,female,1,1
476,Ringhini_ Mr Sante,1st,33,male,0,0
477,Hunt_ Mr George Henry,2nd,33,male,0,0
478,Quick_ Mrs Frederick C (Jane Richards),2nd,33,female,1,1
479,West_ Mrs Edwy Arthur (Ada Mary),2nd,33,female,1,1
480,Backstrom_ Mrs Karl Alfred (Maria Mathilda Gustafsson),3rd,33,female,1,1
481,Carlsson_ Mr Frans Olof,3rd,33,male,0,0
482,Carlsson_ Mr Julius,3rd,33,male,0,0
483,Dean_ Mrs Bertram (Eva),3rd,33,female,1,1
484,Goldsmith_ Mr Frank John,3rd,33,male,0,0
485,Johansson_ Mr Gustaff Joel,3rd,33,male,0,0
486,Johnson_ Mr Malkolm Joackim,3rd,33,male,0,0
487,Bradley_ Mr George,1st,34,male,1,0
488,Seward_ Mr Frederic Kimber,1st,34,male,1,0
489,Angle_ Mr William A,2nd,34,male,0,0
490,Beesley_ Mr Lawrence,2nd,34,male,1,0
491,Drew_ Mrs James Vivian (Lulu Thorne Christian),2nd,34,female,1,1
492,Gillespie_ Mr William,2nd,34,male,0,0
493,Hickman_ Mr Leonard Mark,2nd,34,male,0,0
494,Kantor_ Mr Sinai,2nd,34,male,0,0
495,Lemore_ Mrs Amelia,2nd,34,female,1,1
496,Ponesell_ Mr Martin,2nd,34,male,0,0
497,Renouf_ Mr Peter Henry,2nd,34,male,0,0
498,Danbom_ Mr Ernst Gilbert,3rd,34,male,0,0
499,Johanson_ Mr Jakob Alfred,3rd,34,male,0,0
500,Futrelle_ Mrs Jacques (May Peel),1st,35,female,1,1
501,Holverson_ Mrs Alexander Oskar (Mary Aline Towner),1st,35,female,1,1
502,Homer_ Mr Harry,1st,35,male,1,0
503,Hoyt_ Mrs Frederick Maxfield (Jane Anne Forby),1st,35,female,1,1
504,Collyer_ Mr Harvey,2nd,35,male,0,0
505,Fynney_ Mr Joseph J,2nd,35,male,0,0
506,Gale_ Mr Harry,2nd,35,male,0,0
507,Slemen_ Mr Richard James,2nd,35,male,0,0
508,Walcroft_ Miss Nellie,2nd,35,female,1,1
509,Abbott_ Mrs Stanton (Rosa),3rd,35,female,1,1
510,Allen_ Mr William Henry,3rd,35,male,0,0
511,Asim_ Mr Adola,3rd,35,male,0,0
512,Brocklebank_ Mr William Alfred,3rd,35,male,0,0
513,Cor_ Mr Bartol,3rd,35,male,0,0
514,Beattie_ Mr Thomson,1st,36,male,0,0
515,Cardeza_ Mr Thomas Drake Martinez,1st,36,male,1,0
516,Carter_ Mr William Ernest,1st,36,male,1,0
517,Carter_ Mrs William Ernest (Lucile Polk),1st,36,female,1,1
518,Cavendish_ Mr Tyrell William,1st,36,male,0,0
519,Crosby_ Miss Harriet R,1st,36,female,1,1
520,Evans_ Miss Edith Corse,1st,36,female,0,1
521,Harris_ Mrs Henry Birkhardt (Irene Wallach),1st,36,female,1,1
522,McGough_ Mr James R,1st,36,male,1,0
523,Natsch_ Mr Charles H,1st,36,male,0,0
524,Silverthorne_ Mr Spencer Victor,1st,36,male,1,0
525,Young_ Miss Marie Grice,1st,36,female,1,1
526,Balls_ Mrs Ada E Hall,2nd,36,female,1,1
527,Becker_ Mrs Allen Oliver (Nellie E Baumgardner),2nd,36,female,1,1
528,Buss_ Miss Kate,2nd,36,female,1,1
529,Hold_ Mrs Stephen (Annie Margaret),2nd,36,female,1,1
530,Reeves_ Mr David,2nd,36,male,0,0
531,Webber_ Miss Susan,2nd,36,female,1,1
532,West_ Mr Edwy Arthur,2nd,36,male,0,0
533,Coleff_ Mr Peyo,3rd,36,male,0,0
534,Coutts_ Mrs William (Minnie),3rd,36,female,1,1
535,De Messemaeker_ Mr William Joseph,3rd,36,male,1,0
536,De Messemaeker_ Mrs William Joseph (Anna),3rd,36,female,1,1
537,Klasen_ Mrs Hulda Kristina,3rd,36,female,0,1
538,Leonard_ Mr Lionel,3rd,36,male,0,0
539,Lindell_ Mr Edvard Bengtsson,3rd,36,male,0,0
540,Van de Velde_ Mr John Joseph,3rd,36,male,0,0
541,Van Impe_ Mr Jean Baptiste,3rd,36,male,0,0
542,Wittevrongel_ Mr Camiel,3rd,36,male,0,0
543,Beckwith_ Mr Richard Leonard,1st,37,male,1,0
544,Compton_ Mr Alexander Taylor_ Jr,1st,37,male,0,0
545,Futrelle_ Mr Jacques,1st,37,male,0,0
546,Minahan_ Mrs William Edward (Lillian E Thorpe),1st,37,female,1,1
547,Carr_ Miss Jeannie,3rd,37,female,0,1
548,Gustafsson_ Mr Anders Vilhelm,3rd,37,male,0,0
549,Laitinen_ Miss Kritina Sofia,3rd,37,female,0,1
550,Cumings_ Mrs John Bradley (Florence Briggs Thayer),1st,38,female,1,1
551,Graham_ Mr George Edward,1st,38,male,0,0
552,Hoyt_ Mr Frederick Maxfield,1st,38,male,1,0
553,Fox_ Mr Stanley H,2nd,38,male,0,0
554,Funk_ Miss Annie C,2nd,38,female,0,1
555,Gale_ Mr Shadrach,2nd,38,male,0,0
556,Andersson_ Miss Ida Augusta Margareta,3rd,38,female,0,1
557,Asplund_ Mrs Carl Oscar (Selma Augusta Johansson),3rd,38,female,1,1
558,Cacic_ Mr Luka,3rd,38,male,0,0
559,Georges_ Mrs Shahini Weappi,3rd,38,female,1,1
560,Goncalves_ Mr Manuel Estanslas,3rd,38,male,0,0
561,Andrews_ Mr Thomas_ jr,1st,39,male,0,0
562,Blank_ Mr Henry,1st,39,male,1,0
563,Compton_ Miss Sara Rebecca,1st,39,female,1,1
564,Cumings_ Mr John Bradley,1st,39,male,0,0
565,Dulles_ Mr William Crothers,1st,39,male,0,0
566,Silvey_ Mrs William Baird (Alice Munger),1st,39,female,1,1
567,Taussig_ Mrs Emil (Tillie Mandelbaum),1st,39,female,1,1
568,Thayer_ Mrs John Borland (Marian Longstreth Morris),1st,39,female,1,1
569,Otter_ Mr Richard,2nd,39,male,0,0
570,Andersson_ Mr Anders Johan,3rd,39,male,0,0
571,Andersson_ Mrs Anders Johan (Alfrida K Brogren),3rd,39,female,0,1
572,Karun_ Mr Franz,3rd,39,male,0,0
573,Kink_ Mr Anton,3rd,39,male,1,0
574,Lester_ Mr James,3rd,39,male,0,0
575,Kimball_ Mrs Edwin Nelson Jr (Gertrude Parsons),1st,40,female,1,1
576,Shutes_ Miss Elizabeth W,1st,40,female,1,1
577,Spedden_ Mrs Frederick Oakley (Margaretta Corning Stone),1st,40,female,1,1
578,Harrison_ Mr William   Henry,1st,40,male,0,0
579,Brown_ Mrs Thomas William Solomon (Elizabeth C),2nd,40,female,1,1
580,Peruschitz_ Rev Joseph M,2nd,40,male,0,0
581,Watt_ Mrs James (Bessie Inglis Milne),2nd,40,female,1,1
582,Ahlin_ Mrs Johanna Persdotter,3rd,40,female,0,1
583,Asplund_ Mr Carl Oscar Vilhelm Gustafsson,3rd,40,male,0,0
584,Badt_ Mr Mohamed,3rd,40,male,0,0
585,Bourke_ Mr John,3rd,40,male,0,0
586,Goodwin_ Mr Frederick,3rd,40,male,0,0
587,Green_ Mr George,3rd,40,male,0,0
588,Brady_ Mr John Bertram,1st,41,male,0,0
589,Kenyon_ Mr Frederick R,1st,41,male,0,0
590,Hosono_ Mr Masafumi,2nd,41,male,1,0
591,Mellenger_ Mrs Elizabeth Anne,2nd,41,female,1,1
592,Stanton_ Mr Samuel Ward,2nd,41,male,0,0
593,Aijo-Nirva_ Mr Isak,3rd,41,male,0,0
594,Goldsmith_ Mr Nathan,3rd,41,male,0,0
595,Hansen_ Mr Claus Peter,3rd,41,male,0,0
596,Holverson_ Mr Alexander Oskar,1st,42,male,0,0
597,Kimball_ Mr Edwin Nelson Jr,1st,42,male,1,0
598,Lindeberg-Lind_ Mr Erik Gustaf,1st,42,male,0,0
599,Bystrom_ Mrs Carolina,2nd,42,female,1,1
600,Drew_ Mr James Vivian,2nd,42,male,0,0
601,Hold_ Mr Stephen,2nd,42,male,0,0
602,Phillips_ Miss Alice,2nd,42,female,1,1
603,Abbing_ Mr Anthony,3rd,42,male,0,0
604,Dimic_ Mr Jovan,3rd,42,male,0,0
605,Humblin_ Mr Adolf Mathias Nicolai Olsen,3rd,42,male,0,0
606,Kelly_ Mr James,3rd,42,male,0,0
607,Carrau_ Mr Francisco M,1st,43,male,0,0
608,Robert_ Mrs Edward Scott (Elisabeth Walton McMillan),1st,43,female,1,1
609,Stengel_ Mrs Charles Emil Henry (Annie May Morris),1st,43,female,1,1
610,Hart_ Mr Benjamin,2nd,43,male,0,0
611,Cook_ Mr Jacob,3rd,43,male,0,0
612,Dintcheff_ Mr Valtcho,3rd,43,male,0,0
613,Goodwin_ Mrs Frederick (Augusta),3rd,43,female,0,1
614,Holm_ Mr John Frederik Alexander,3rd,43,male,0,0
615,"Brown_ Mrs James Joseph (Margaret Molly"" Tobin)""",1st,44,female,1,1
616,Frauenthal_ Mr Isaac Gerald,1st,44,male,1,0
617,Hippach_ Mrs Louis Albert (Ida Sophia Fischer),1st,44,female,1,1
618,Minahan_ Dr William Edward,1st,44,male,0,0
619,Carter_ Mrs Ernest Courtenay (Lillian Hughes),2nd,44,female,0,1
620,Harbeck_ Mr William H,2nd,44,male,0,0
621,Cribb_ Mr John Hatfield,3rd,44,male,0,0
622,Kelly_ Mr James,3rd,44,male,0,0
623,Blackwell_ Mr Stephen Weart,1st,45,male,0,0
624,Bowen_ Miss Grace Scott,1st,45,female,1,1
625,Butt_ Major Archibald Willingham,1st,45,male,0,0
626,Gibson_ Mrs Leonard (Pauline C Boeson),1st,45,female,1,1
627,Greenfield_ Mrs Leo David (Blanche Strouse),1st,45,female,1,1
628,Harris_ Mr Henry Birkhardt,1st,45,male,0,0
629,Spedden_ Mr Frederick Oakley,1st,45,male,1,0
630,Wick_ Mrs George Dennick (Martha Hitchcock),1st,45,female,1,1
631,Brown_ Mr Thomas William Solomon,2nd,45,male,0,0
632,Gilbert_ Mr William,2nd,45,male,0,0
633,Hart_ Mrs Benjamin (Esther),2nd,45,female,1,1
634,Kelly_ Mrs Florence (Fannie),2nd,45,female,1,1
635,McCrae_ Mr Arthur Gordon,2nd,45,male,0,0
636,Assaf_ Mrs Mariana,3rd,45,female,1,1
637,Barbara_ Mrs Catherine,3rd,45,female,0,1
638,Dahl_ Mr Charles Edward,3rd,45,male,1,0
639,Ekstrom_ Mr Johan,3rd,45,male,0,0
640,Hansen_ Mrs Claus Peter,3rd,45,female,1,1
641,Lindblom_ Miss Augusta Charlotta,3rd,45,female,0,1
642,Wilkes_ Mrs Ellen,3rd,45,female,1,1
643,Chaffee_ Mr Herbert Fuller,1st,46,male,0,0
644,Guggenheim_ Mr Benjamin,1st,46,male,0,0
645,Jones_ Mr Charles Cresson,1st,46,male,0,0
646,McCaffry_ Mr Thomas Francis,1st,46,male,0,0
647,Porter_ Mr Walter Chamberlain,1st,46,male,0,0
648,Swift_ Mrs Frederick Joel (Margaret Welles Barron),1st,46,female,1,1
649,Thorne_ Mr George (alias of: Mr George Rosenshine),1st,46,male,0,0
650,McKane_ Mr Peter D,2nd,46,male,0,0
651,Anderson_ Mr Harry,1st,47,male,1,0
652,Astor_ Colonel John Jacob,1st,47,male,0,0
653,Beckwith_ Mrs Richard Leonard (Sallie Monypeny),1st,47,female,1,1
654,Chaffee_ Mrs Herbert Fuller (Carrie Constance Toogood),1st,47,female,1,1
655,Gee_ Mr Arthur H,1st,47,male,0,0
656,Moore_ Mr Clarence Bloomfield,1st,47,male,0,0
657,Walker_ Mr William Anderson,1st,47,male,0,0
658,Elsbury_ Mr James,3rd,47,male,0,0
659,Vereruysse_ Mr Victor,3rd,47,male,0,0
660,Brandeis_ Mr Emil,1st,48,male,0,0
661,Douglas_ Mrs Walter Donald (Mahala Dutton),1st,48,female,1,1
662,Duff Gordon_ Lady (Lucille Wallace Sutherland),1st,48,female,1,1
663,Frolicher-Stehli_ Mrs Maxmillian (Margaretha Emerentia Stehli),1st,48,female,1,1
664,Harper_ Mr Henry Sleeper,1st,48,male,1,0
665,Ryerson_ Mrs Arthur Larned (Emily Maria Borie),1st,48,female,1,1
666,Taylor_ Mr Elmer Zebley,1st,48,male,1,0
667,Herman_ Mrs Samuel (Jane Laver),2nd,48,female,1,1
668,Louch_ Mr Charles Alexander,2nd,48,male,0,0
669,Milling_ Mr Jacob Christian,2nd,48,male,0,0
670,Ford_ Mrs Edward (Margaret Ann),3rd,48,female,0,1
671,Jensen_ Mr Niels Peder,3rd,48,male,0,0
672,Case_ Mr Howard Brown,1st,49,male,0,0
673,Duff Gordon_ Sir Cosmo Edmund,1st,49,male,1,0
674,Frauenthal_ Dr Henry William,1st,49,male,1,0
675,Goldenberg_ Mr Samuel L,1st,49,male,1,0
676,Harper_ Mrs Henry Sleeper (Myna Haxtun),1st,49,female,1,1
677,Ismay_ Mr Joseph Bruce,1st,49,male,1,0
678,Thayer_ Mr John Borland,1st,49,male,0,0
679,Davis_ Mrs Agnes,2nd,49,female,1,1
680,Herman_ Mr Samuel,2nd,49,male,0,0
681,Johnson_ Mr Alfred,3rd,49,male,0,0
682,Baxter_ Mrs James (Helene DeLaudeniere Chaput),1st,50,female,1,1
683,Douglas_ Mr Walter Donald,1st,50,male,0,0
684,Isham_ Miss Anne Elizabeth,1st,50,female,0,1
685,Lines_ Mrs Ernest H (Elizabeth Lindsey James),1st,50,female,1,1
686,Silvey_ Mr William Baird,1st,50,male,0,0
687,Widener_ Mr George Dunton,1st,50,male,0,0
688,Widener_ Mrs George Dunton (Eleanor Elkins),1st,50,female,1,1
689,Greenberg_ Mr Samuel,2nd,50,male,0,0
690,Parrish_ Mrs Lutie Davis,2nd,50,female,1,1
691,Ridsdale_ Miss Lucy,2nd,50,female,1,1
692,Toomey_ Miss Ellen,2nd,50,female,1,1
693,Hogeboom_ Mrs John C (Anna Andrews),1st,51,female,1,1
694,Williams_ Mr Charles Duane,1st,51,male,0,0
695,Bateman_ Rev Robert James,2nd,51,male,0,0
696,Widegren_ Mr Charles Peter,3rd,51,male,0,0
697,Hays_ Mrs Charles Melville (Clara Jennings Gregg),1st,52,female,1,1
698,Peuchen_ Major Arthur Godfrey,1st,52,male,1,0
699,Stephenson_ Mrs Walter Bertram (Martha Eustis),1st,52,female,1,1
700,Taussig_ Mr Emil,1st,52,male,0,0
701,Chapman_ Mr Charles Henry,2nd,52,male,0,0
702,Hodges_ Mr Henry Price,2nd,52,male,0,0
703,Candee_ Mrs Edward (Helen Churchill Hungerford),1st,53,female,1,1
704,Eustis_ Miss Elizabeth Mussey,1st,53,female,1,1
705,Hocking_ Mrs Elizabeth,2nd,53,female,1,1
706,Calderhead_ Mr Edward P,1st,54,male,1,0
707,Gracie_ Colonel Archibald IV,1st,54,male,1,0
708,McCarthy_ Mr Timothy J,1st,54,male,0,0
709,Rothschild_ Mrs Martin (Elizabeth L Barrett),1st,54,female,1,1
710,Stengel_ Mr Charles Emil Henry,1st,54,male,1,0
711,White_ Mr Percival Wayland,1st,54,male,0,0
712,Carter_ Rev Ernest Courtenay,2nd,54,male,0,0
713,Moraweck_ Dr Ernest,2nd,54,male,0,0
714,Cornell_ Mrs Robert Clifford (Malvina Helen Lamson),1st,55,female,1,1
715,Hays_ Mr Charles Melville,1st,55,male,0,0
716,Lindstrom_ Mrs Carl Johan (Sigrid Posse),1st,55,female,1,1
717,Molson_ Mr Harry Markland,1st,55,male,0,0
718,Rothschild_ Mr Martin,1st,55,male,0,0
719,White_ Mrs J Stuart (Ella Holmes),1st,55,female,1,1
720,Potter_ Mrs Thomas_ Jr (Lily Alexenia Wilson),1st,56,female,1,1
721,Simonius-Blumer_ Col Alfons,1st,56,male,1,0
722,Smart_ Mr John Montgomery,1st,56,male,0,0
723,Smith_ Mr James Clinch,1st,56,male,0,0
724,Spencer_ Mr William Augustus,1st,57,male,0,0
725,Wick_ Mr George Dennick,1st,57,male,0,0
726,Ashby_ Mr John,2nd,57,male,0,0
727,Mack_ Mrs Mary,2nd,57,female,0,1
728,Appleton_ Mrs Edward Dale (Charlotte Lamson),1st,58,female,1,1
729,Bonnell_ Miss Elizabeth,1st,58,female,1,1
730,Cardeza_ Mrs James Warburton Martinez (Charlotte Wardle Drake),1st,58,female,1,1
731,Graham_ Mrs William Thompson (Edith Junkins),1st,58,female,1,1
732,Kent_ Mr Edward Austin,1st,58,male,0,0
733,Newell_ Mr Arthur Webster,1st,58,male,0,0
734,Brown_ Mrs John Murray (Caroline Lane Lamson),1st,59,female,1,1
735,Sjostedt_ Mr Ernst Adolf,2nd,59,male,0,0
736,Coxon_ Mr Daniel,3rd,59,male,0,0
737,Bucknell_ Mrs William Robert (Emma Eliza Ward),1st,60,female,1,1
738,Fortune_ Mrs Mark (Mary McDougald),1st,60,female,1,1
739,Frolicher-Stehli_ Mr Maxmillian,1st,60,male,1,0
740,Warren_ Mrs Frank Manley (Anna S Atkinson),1st,60,female,1,1
741,Weir_ Col John,1st,60,male,0,0
742,Ryerson_ Mr Arthur Larned,1st,61,male,0,0
743,Sutton_ Mr Frederick,1st,61,male,0,0
744,Van Derhoef_ Mr Wyckoff,1st,61,male,0,0
745,Stead_ Mr William Thomas,1st,62,male,0,0
746,Stone_ Mrs George Nelson (Martha E),1st,62,female,1,1
747,Andrews_ Miss Kornelia Theodosia,1st,63,female,1,1
748,Straus_ Mrs Isidor (Ida Blun),1st,63,female,0,1
749,Turkula_ Mrs Hedvig,3rd,63,female,1,1
750,Compton_ Mrs Alexander Taylor (Mary Eliza Ingersoll),1st,64,female,1,1
751,Fortune_ Mr Mark,1st,64,male,0,0
752,Nicholson_ Mr Arthur Ernest,1st,64,male,0,0
753,Ostby_ Mr Engelhart Cornelius,1st,64,male,0,0
754,Warren_ Mr Frank Manley,1st,64,male,0,0
755,Myles_ Mr Thomas Francis,2nd,64,male,0,0
756,Millet_ Mr Francis Davis,1st,65,male,0,0
757,Dewan_ Mr Frank,3rd,65,male,0,0
758,Brewe_ Dr Arthur Jackson,1st,66,male,0,0
759,Straus_ Mr Isidor,1st,67,male,0,0
760,Crosby_ Mrs Edward Gifford (Catherine Elizabeth Halstead),1st,69,female,1,1
761,Crosby_ Captain Edward Gifford,1st,70,male,0,0
762,Artagaveytia_ Mr Ramon,1st,71,male,0,0
763,Goldschmidt_ Mr George B,1st,71,male,0,0
